Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Jebu Donga,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1987,1033
Kaboye Alludu,Relangi Narasimha Rao,,,Rajendra Prasad,,,1987,1034
Kirai Dada,A. Kodandarami Reddy,,Chakravarthy,Akkineni Nagarjuna,,,1987,1035
Lawyer Suhasini,Vamsy,,,Bhanu Chander,,,1987,1036
Lawyer Bharathi Devi,"K. Rama Mohan Rao
",,"
",Sarada,,,1987,1037
Maa Ooru,B. Narsing Rao,,,,,,1987,1038
Maa Voori Magadu,K. Bapaiah,,Chakravarthy,Krishna,,,1987,1039
Madana Gopaludu,P. S. Krishna Mohan Reddy,,,Rajendra Prasad,,,1987,1040
Maharshi,Vamsy,,,Shantipriya,,,1987,1041
Majnu,Dasari Narayana Rao,,Laxmikant–Pyarelal,Akkineni Nagarjuna,,,1987,1042
Makutamleni Maharaju,K. Bapayya,,,Krishna,,,1987,1043
Manmadha Leela Kamaraju Gola,Relangi Narasimha Rao,,,Rajendra Prasad,,,1987,1044
Muddayi,K. S. R. Das,,,Krishna,,,1987,1045
Muddu Bidda,P. Chandrasekhara Reddy,,,Krishna,,,1987,1046
Muvva Gopaludu,Kodi Ramakrishna,,,Nandamuri Balakrishna,,,1987,1047
Naku Pellam Kavali,Vijaya Bapineedu,,Vasu Rao,Rajendra Prasad,,,1987,1048
Pasivadi Pranam,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1987,1049
Prema Samrat,Mohan Gandhi,,Satyam,Suman,,,1987,1050
President Gari Abbai,Kodi Ramakrishna,,Chakravarthy,Balakrishna,,,1987,1051
Pushpaka Vimanam,Singeetham Srinivasa Rao,,Ilaiyaraaja,Kamal Hassan,,,1987,1052
Ramu,Y. Nageshwara Rao,,Raj-Koti,Balakrishna,,,1987,1053
Sahasa Samrat,K. Raghavendra Rao,,,Balakrishna,,,1987,1054
Samsaram Oka Chadarangam,S. P. Muthuraman,,,Gollapudi Maruti Rao,,,1987,1055
Sankeertana,Geetha Krishna,,Ilaiyaraaja,Akkineni Nagarjuna,,,1987,1056
Sankharavam,Krishna,,,"Krishna, ",,,1987,1057
Sardar Dharmanna,Barisetty Bhaskara Rao,,,Krishnam Raju,,,1987,1058
Sardar Krishnama Naidu,A. Kodandarami Reddy,,,Krishna,,,1987,1059
Shankar Guru,Raja,,,Arjun Sarja,,,1987,1060
Srimathi Oka Bahumathi,Visu,,Sankar Ganesh,Naresh,,,1987,1061
Srinivasa Kalyanam,Kodi Ramakrishna,,K. V. Mahadevan,Daggubati Venkatesh,,,1987,1062
Sruthilayalu,K. Vishwanath,,K. V. Mahadevan,Rajasekhar,,,1987,1063
Swayamkrushi,K. Vishwanath,,Ramesh Naidu,Chiranjeevi,,,1987,1064
Thandri Kodukula Challenge,M. Mallikarjuna Rao,,,Krishna,,,1987,1065
Thene Manasulu,Rajendra Singh Babu,,,Krishna,,,1987,1066
Trimurtulu,K. Murali Mohan Rao,,,Daggubati Venkatesh,,,1987,1067
Vijetha Vikram,S. S. Ravichandra,,,Daggubati Venkatesh,,,1987,1068
Viswanatha Nayakudu,Dasari Narayana Rao,,J. V. Raghavulu,Mohan Babu,,,1987,1069
Aahuti,Kodi Ramakrishna,,Satyam,Rajasekhar,,,1988,1070
Aakhari Poratam,K. Raghavendra Rao,,Ilaiyaraaja,Akkineni Nagarjuna,,,1988,1071
Abhinandana,Ashok Kumar,,Ilaiyaraaja,Karthik,,,1988,1072
Agni Keratalu,Tatineni Rama Rao,,Chakravarthy,Krishna,,,1988,1073
Antima Teerpu,Joshiy,,,Krishnam Raju,,,1988,1074
Asthulu Anthasthulu,Bairisetty Bhaskara Rao,,,Rajendra Prasad,,,1988,1075
Aswaddhama,B. Gopal,,,Krishna,,,1988,1076
Bava Marudula Saval,C. V. Ganesh,,,Rajendra Prasad,,,1988,1077
Bazaar Rowdy,A. Kodandarami Reddy,,Raj-Koti,"Ramesh Babu, ",,,1988,1078
Bhama Kalapam,Relangi Narasimha Rao,,,Rajendra Prasad,,,1988,1079
Bharatamlo Bala Chandrudu,Kodi Ramakrishna,,,Nandamuri Balakrishna,,,1988,1080
Bharya Bhartala Bhagotham,Mahesh Kumar,,,Rajendra Prasad,,,1988,1081
Brahma Puthrudu,Dasari Narayana Rao,,Chakravarthy,Daggubati Venkatesh,,,1988,1082
Chikkadu Dorakadu,Relangi Narasimha Rao,,Chakravarthy,Rajendra Prasad,,,1988,1083
Chinababu,Mohan Gandhi,,Ilaiyaraaja,Akkineni Nagarjuna,,,1988,1084
Chinnodu Peddodu,Relangi Narasimha Rao,,S. P. Balasubrahmanyam,Rajendra Prasad,,,1988,1085
Choopulu Kalasina Subhavela,Jandhyala,,Rajan-Nagendra,Mohan,,,1988,1086
Chuttalabbayi,Kodi Ramakrishna,,,Krishna,,,1988,1087
Daasi,B. Narsing Rao,,,Archana,,,1988,1088
Donga Kollu,Vijaya Baapineedu,,Vasu Rao,Rajendra Prasad,,,1988,1089
Donga Pelli,Ravi Raja Pinisetty,,,Sobhan Babu,,,1988,1090
Donga Ramudu,K. Raghavendra Rao,,Tulasi,Nandamuri Balakrishna,,,1988,1091
Illu Illalu Pillalu,Visu,,Vijayanand,Chandra Mohan,,,1988,1092
Inspector Pratap,Muthyala Subbaiah,,,Nandamuri Balakrishna,,,1988,1093
Jamadagni,Bharatiraja,,,Ghattamaneni Krishna,,,1988,1094
Janaki Ramudu,K. Raghavendra Rao,,K. V. Mahadevan,Akkineni Nagarjuna,,,1988,1095
Jeevana Ganga,Mouli,,,Rajendra Prasad,,,1988,1096
Jeevana Jyothi,Relangi Narasimha Rao,,,Sarath Babu,,,1988,1097
